network,module,enrichment,correlation
signum0.0861_minSize8,slateblue1,1,-0.0129003856828676
signum0.0861_minSize8,whitesmoke,1,0.222933011659294
signum0.0861_minSize8,sienna3,0.0844133573847845,0.161841827898701
signum0.0861_minSize8,sienna1,1,-0.130540118515072
signum0.0861_minSize8,pink2,1,-0.0410069461558321
signum0.0861_minSize8,darkmagenta,1,0.387633934352893
signum0.0861_minSize8,orange4,1,-0.114575290600886
signum0.0861_minSize8,lightskyblue3,1,0.220405435275166
signum0.0861_minSize8,mediumorchid4,1,-0.114139656757725
signum0.0861_minSize8,lightblue2,1,-0.0610887052730885
signum0.0861_minSize8,indianred1,1,0.113820658376605
signum0.0861_minSize8,cyan,1,0.0518463357049181
signum0.0861_minSize8,firebrick,1,-0.146536603270994
signum0.13_minSize10,turquoise,3.06107464539061e-77,0.880667778298284
signum0.13_minSize10,blue,0.302873527401443,-0.0266519109833825
signum0.13_minSize10,brown,1,0.0241892530203756
signum0.13_minSize10,black,1,0.0129468203166586
signum0.13_minSize10,greenyellow,1,0.622213950357931
signum0.13_minSize10,purple,1,0.0518463357049181
signum0.13_minSize10,lightcyan,1,-0.23308130677466
signum0.13_minSize10,tan,1,0.0199555044887312
signum0.13_minSize10,red,1,-0.21005809882207
signum0.13_minSize10,magenta,1,-0.0571559679512616
signum0.13_minSize10,grey60,1.75428191808753e-06,0.643242068175131
signum0.13_minSize10,midnightblue,1,-0.144614695269196
signum0.13_minSize10,pink,7.28905764433165e-26,0.800156714209075
signum0.13_minSize10,green,1,-0.139952611501271
signum0.13_minSize10,cyan,1,-0.123905703443794
signum0.13_minSize10,yellow,0.2111256537183,0.0018795955031817
signum0.13_minSize10,salmon,5.47652541929586e-11,0.681487323737148
signum0.13_minSize10,lightgreen,1,-0.1350846615385
signum0.13_minSize12,turquoise,1.93296529085175e-83,0.861326671229815
signum0.13_minSize12,blue,0.294761930590628,-0.065441146594722
signum0.13_minSize12,yellow,1,0.0266054754048728
signum0.13_minSize12,black,1,0.0129468203166586
signum0.13_minSize12,pink,1.14215616112705e-28,0.800156714209075
signum0.13_minSize12,purple,1,0.0518463357049181
signum0.13_minSize12,red,1,-0.21005809882207
signum0.13_minSize12,magenta,1,-0.0571559679512616
signum0.13_minSize12,green,1,-0.139952611501271
signum0.13_minSize12,brown,0.000192052513227299,0.0018795955031817
signum0.13_minSize15,turquoise,1.56038587716585e-103,0.861326671229815
signum0.13_minSize15,yellow,0.274436398017336,-0.0867196498000119
signum0.13_minSize15,brown,1,0.0266054754048728
signum0.13_minSize15,red,1,-0.21005809882207
signum0.13_minSize15,green,1,-0.139952611501271
signum0.13_minSize15,blue,0.000222454747753196,0.0018795955031817
signum0.13_minSize20,brown,0.262227125888397,-0.0867196498000119
signum0.13_minSize20,blue,1,0.0266054754048728
signum0.13_minSize20,turquoise,0.000178032480500672,0.0018795955031817
signum0.13_minSize5,blue,4.49428696012044e-65,0.87579085106352
signum0.13_minSize5,brown,0.0748923422121345,-0.0266519109833825
signum0.13_minSize5,hotpink3,1,-0.0464531921725531
signum0.13_minSize5,salmon4,1,-0.189826867001269
signum0.13_minSize5,turquoise,1,-0.00463752168708179
signum0.13_minSize5,palevioletred3,1,-0.146341886553801
signum0.13_minSize5,dodgerblue1,1,0.0385731476655434
signum0.13_minSize5,darkgoldenrod,1,-0.170235143882743
signum0.13_minSize5,navajowhite2,1,-0.113473507937195
signum0.13_minSize5,bisque2,1,0.165001218879989
signum0.13_minSize5,burlywood2,1,0.246481056753733
signum0.13_minSize5,dodgerblue2,1,0.0256416249245448
signum0.13_minSize5,rosybrown2,1,0.0385247785046076
signum0.13_minSize5,turquoise4,1,-0.00829596697539514
signum0.13_minSize5,steelblue3,1,-0.0379939856781742
signum0.13_minSize5,maroon,1,0.0950974501684206
signum0.13_minSize5,rosybrown1,1,-0.24367916475884
signum0.13_minSize5,lightpink4,1,-0.000264346196136398
signum0.13_minSize5,saddlebrown,1,-0.235393817732318
signum0.13_minSize5,darkturquoise,1,-0.057744649123698
signum0.13_minSize5,palegreen4,1,-0.0354958312270684
signum0.13_minSize5,lavenderblush3,1,0.253595686445521
signum0.13_minSize5,mistyrose1,1,-0.00428371408248747
signum0.13_minSize5,honeydew1,1,-0.0419542565074004
signum0.13_minSize5,lightyellow4,1,-0.0913341922042981
signum0.13_minSize5,lightgoldenrod3,1,0.00151869457239033
signum0.13_minSize5,greenyellow,1,0.622213950357931
signum0.13_minSize5,khaki2,1,0.351938638364785
signum0.13_minSize5,goldenrod3,1,0.0196989630959505
signum0.13_minSize5,steelblue,1,-0.0244654801908324
signum0.13_minSize5,darkseagreen4,1,-0.0114763653423822
signum0.13_minSize5,darkorchid3,1,-0.135572639800454
signum0.13_minSize5,chartreuse4,1,-0.0944850028159977
signum0.13_minSize5,aquamarine1,1,0.269614871394549
signum0.13_minSize5,cyan4,1,-0.199909579880515
signum0.13_minSize5,orangered2,1,-0.172688877925936
signum0.13_minSize5,coral1,1,-0.0802914418396057
signum0.13_minSize5,snow,1,-0.00757230479193003
signum0.13_minSize5,violetred2,1,-0.0331444298947757
signum0.13_minSize5,antiquewhite4,1,-0.203779899959864
signum0.13_minSize5,coral2,1,0.252118135670181
signum0.13_minSize5,seashell2,1,0.133715773775512
signum0.13_minSize5,peachpuff3,1,0.0375869666399781
signum0.13_minSize5,mediumorchid,1,-0.0250651260982806
signum0.13_minSize5,skyblue2,1,0.00801484949849118
signum0.13_minSize5,yellow4,1,0.0441166764595166
signum0.13_minSize5,olivedrab3,0.0325236413928908,0.269219225426604
signum0.13_minSize5,mediumblue,1,0.0270239947101946
signum0.13_minSize5,lemonchiffon2,1,-0.0979234445479489
signum0.13_minSize5,skyblue1,1,0.0807898301450744
signum0.13_minSize5,plum,1,-0.0886057050135734
signum0.13_minSize5,lightseagreen,1,-0.0282232908183002
signum0.13_minSize5,orangered3,1,0.0870673741599506
signum0.13_minSize5,lemonchiffon3,1,-0.158948851367384
signum0.13_minSize5,hotpink2,1,-0.092261527634882
signum0.13_minSize5,dodgerblue,1,0.12928365209647
signum0.13_minSize5,darkblue,1,-0.346074962987045
signum0.13_minSize5,mediumpurple2,1,-0.051858024300303
signum0.13_minSize5,lightsteelblue,1,0.029731195153034
signum0.13_minSize5,bisque1,1,0.0194455894113293
signum0.13_minSize5,lightcoral,1,-0.0241261491239876
signum0.13_minSize5,paleturquoise,1,0.00223638146999796
signum0.13_minSize5,indianred4,1,-0.230382995608079
signum0.13_minSize5,firebrick4,1,-0.122273609640097
signum0.13_minSize5,darkolivegreen4,1,-0.0751877872253916
signum0.13_minSize5,gray26,1,-0.219222576691838
signum0.13_minSize5,violet,1,0.143538212733252
signum0.13_minSize5,lightcyan,1,-0.23308130677466
signum0.13_minSize5,brown2,1,0.0236310879506693
signum0.13_minSize5,burlywood3,1,0.0407794748787907
signum0.13_minSize5,blue2,1,0.060291314023493
signum0.13_minSize5,firebrick1,1,-0.108223461492107
signum0.13_minSize5,royalblue1,1,0.00891104745659892
signum0.13_minSize5,violetred1,1,-0.148252161179203
signum0.13_minSize5,steelblue1,1,0.255654410507943
signum0.13_minSize5,rosybrown,1,-0.0318766758632181
signum0.13_minSize5,darkviolet,1,0.0983808865185
signum0.13_minSize5,palegreen3,1,0.0499996714876976
signum0.13_minSize5,mintcream,1,-0.137056727844494
signum0.13_minSize5,lightyellow3,0.0271768651843259,0.0824826318698959
signum0.13_minSize5,lightgoldenrod2,1,-0.0919561779302323
signum0.13_minSize5,tan,1,0.0199555044887312
signum0.13_minSize5,khaki1,1,0.0643499576663192
signum0.13_minSize5,plum3,1,-0.0459153269413994
signum0.13_minSize5,thistle3,1,-0.0949667625440092
signum0.13_minSize5,black,1,0.0129468203166586
signum0.13_minSize5,goldenrod2,1,0.0331734416709015
signum0.13_minSize5,chocolate4,1,-0.0684658105418064
signum0.13_minSize5,darkorchid2,1,-0.251785428661268
signum0.13_minSize5,thistle,1,-0.0722977423233097
signum0.13_minSize5,chartreuse3,1,0.0125657123655899
signum0.13_minSize5,salmon2,1,0.227426511811682
